State(1000, [3.0, -2.0, 3.0], Array{Float64}[[0.5, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.5, 0.5]], [0.0, 0.01, 50.0])
931,C,C3,i3,0.5
932,C,C1,i1,3.0
933,C,C3,i3,0.5
934,C,C3,i3,0.5
935,C,C3,i3,0.5
936,C,C1,i1,3.0
937,C,C3,i3,0.5
938,C,C3,i3,0.5
939,C,C1,i3,3.0
940,C,C3,i2,0.5
941,C,C3,i3,0.5
942,C,C1,i1,3.0
943,C,C1,i3,3.0
944,C,C3,i3,0.5
945,C,C3,i2,0.5
946,C,C3,i3,0.5
947,C,C1,i3,3.0
948,C,C1,i3,3.0
949,C,C1,i1,3.0
950,C,C3,i3,0.5
951,C,C3,i2,0.5
952,C,C1,i1,3.0
953,C,C3,i3,0.5
954,C,C3,i3,0.5
955,C,C1,i1,3.0
956,C,C1,i3,3.0
957,C,C3,i2,0.5
958,C,C1,i1,3.0
959,C,C1,i3,3.0
960,C,C1,i1,3.0
961,C,C1,i3,3.0
962,C,C1,i3,3.0
963,C,C3,i3,0.5
964,C,C3,i2,0.5
965,C,C3,i2,0.5
