State(1000, [8.0, 3.0, -2.0], Array{Float64}[[0.5, 0.5, 0.0], [0.5, 0.0, 0.5], [0.0, 0.5, 0.5]], [0.0, 0.01, 50.0])
784,C,C1,i1,5.5
785,C,C1,i1,5.5
786,C,C3,i2,0.5
787,C,C2,i3,3.0
788,C,C1,i1,5.5
789,C,C2,i1,3.0
790,C,C2,i3,3.0
791,C,C1,i2,5.5
792,C,C2,i3,3.0
793,C,C1,i2,5.5
794,C,C1,i2,5.5
795,C,C1,i1,5.5
796,C,C1,i1,5.5
797,C,C3,i2,0.5
798,C,C2,i3,3.0
799,C,C1,i1,5.5
800,C,C2,i1,3.0
801,C,C2,i3,3.0
802,C,C1,i2,5.5
803,C,C2,i3,3.0
804,C,C1,i2,5.5
805,C,C1,i2,5.5
806,C,C1,i1,5.5
807,C,C1,i1,5.5
808,C,C3,i2,0.5
809,C,C2,i3,3.0
810,C,C1,i1,5.5
811,C,C2,i1,3.0
812,C,C2,i3,3.0
813,C,C1,i2,5.5
814,C,C2,i3,3.0
815,C,C1,i2,5.5
816,C,C1,i2,5.5
817,C,C1,i1,5.5
818,C,C1,i1,5.5
819,C,C3,i2,0.5
820,C,C2,i3,3.0
821,C,C1,i1,5.5
822,C,C2,i1,3.0
823,C,C2,i3,3.0
824,C,C1,i2,5.5
825,C,C2,i3,3.0
826,C,C1,i2,5.5
827,C,C1,i2,5.5
828,C,C1,i1,5.5
829,C,C1,i1,5.5
830,C,C3,i2,0.5
831,C,C2,i3,3.0
832,C,C1,i1,5.5
833,C,C2,i1,3.0
834,C,C2,i3,3.0
835,C,C1,i2,5.5
836,C,C2,i3,3.0
837,C,C1,i2,5.5
838,C,C1,i2,5.5
839,C,C1,i1,5.5
840,C,C1,i1,5.5
841,C,C3,i2,0.5
842,C,C2,i3,3.0
843,C,C1,i1,5.5
844,C,C2,i1,3.0
845,C,C2,i3,3.0
846,C,C1,i2,5.5
847,C,C2,i3,3.0
848,C,C1,i2,5.5
849,C,C1,i2,5.5
850,C,C1,i1,5.5
851,C,C1,i1,5.5
852,C,C3,i2,0.5
853,C,C2,i3,3.0
854,C,C1,i1,5.5
855,C,C2,i1,3.0
856,C,C2,i3,3.0
857,C,C1,i2,5.5
858,C,C2,i3,3.0
859,C,C1,i2,5.5
860,C,C1,i2,5.5
861,C,C1,i1,5.5
862,C,C1,i1,5.5
863,C,C3,i2,0.5
864,C,C2,i3,3.0
865,C,C1,i1,5.5
866,C,C2,i1,3.0
867,C,C2,i3,3.0
868,C,C1,i2,5.5
869,C,C2,i3,3.0
870,C,C1,i2,5.5
871,C,C1,i2,5.5
872,C,C1,i1,5.5
873,C,C1,i1,5.5
874,C,C3,i2,0.5
875,C,C2,i3,3.0
876,C,C1,i1,5.5
877,C,C2,i1,3.0
878,C,C2,i3,3.0
879,C,C1,i2,5.5
880,C,C2,i3,3.0
881,C,C1,i2,5.5
882,C,C1,i2,5.5
883,C,C1,i1,5.5
884,C,C1,i1,5.5
885,C,C3,i2,0.5
886,C,C2,i3,3.0
887,C,C1,i1,5.5
888,C,C2,i1,3.0
889,C,C2,i3,3.0
890,C,C1,i2,5.5
891,C,C2,i3,3.0
892,C,C1,i2,5.5
893,C,C1,i2,5.5
894,C,C1,i1,5.5
895,C,C1,i1,5.5
896,C,C3,i2,0.5
897,C,C2,i3,3.0
898,C,C1,i1,5.5
899,C,C2,i1,3.0
900,C,C2,i3,3.0
901,C,C1,i2,5.5
902,C,C2,i3,3.0
903,C,C1,i2,5.5
904,C,C1,i2,5.5
905,C,C1,i1,5.5
906,C,C1,i1,5.5
