State(1000, [3.0, 8.0, 8.0], Array{Float64}[[0.0, 0.5, 0.5], [0.5, 0.5, 0.0], [0.5, 0.5, 0.0]], [0.0, 0.01, 50.0])
931,C,C1,i3,8.0
932,C,C3,i2,5.5
933,C,C3,i1,5.5
934,C,C1,i3,8.0
935,C,C1,i3,8.0
936,C,C1,i3,8.0
937,C,C3,i2,5.5
938,C,C3,i1,5.5
939,C,C1,i3,8.0
940,C,C1,i3,8.0
941,C,C1,i3,8.0
942,C,C3,i2,5.5
943,C,C3,i1,5.5
944,C,C1,i3,8.0
945,C,C1,i3,8.0
946,C,C1,i3,8.0
947,C,C3,i2,5.5
948,C,C3,i1,5.5
949,C,C1,i3,8.0
950,C,C1,i3,8.0
951,C,C1,i3,8.0
952,C,C3,i2,5.5
953,C,C3,i1,5.5
954,C,C1,i3,8.0
955,C,C1,i3,8.0
956,C,C1,i3,8.0
957,C,C3,i2,5.5
958,C,C3,i1,5.5
959,C,C1,i3,8.0
960,C,C1,i3,8.0
961,C,C1,i3,8.0
962,C,C3,i2,5.5
963,C,C3,i1,5.5
964,C,C1,i3,8.0
965,C,C1,i3,8.0
966,C,C1,i3,8.0
967,C,C3,i2,5.5
